"Nombre","Volumen","Unidad de medida","Referencia interna","D365 Reference","Box Qty","Pronosticado con pendiente"
"Amoladora eléctrica Barovo 4 1/2"" 600 W (x10 u)","0.044352","Unidades","BR1AMO0019","AAE-600C","10.0","0.0"
"Amoladora eléctrica Barovo 4 1/2"" 750 W (x6 u)","0.037179","Unidades","BR1AMO0005","AA75B","6.0","0.0"
"Amoladora eléctrica Barovo 7 "" 2000 W (x2 u)","0.028215","Unidades","BR1AMO0006","AA2KB","2.0","11.0"
"Amoladora eléctrica Barovo 9"" 2300 W (x2 u)","0.027702","Unidades","BR1AMO0007","AA2K30B","2.0","15.0"
"Amoladora eléctrica Miyawa 4 1/2 "" 750 W (x10u)","0.040986","Unidades","MI1AMO0002","AA75ADM","10.0","0.0"
"Amoladora recta 1/4"" (x20u)","0.019975","Unidades","BR1AMO0002","BA1/4","20.0","0.0"
"Anafe camping con protección contra viento (x50u)","0.15345","Unidades","KU1ANF0004","APCAGB02","50.0","0.0"
"Anafe dual portátil para camping (x6u)","0.06","Unidades","KU1ANF0003","APCAGB01","6.0","0.0"
"Anafe eléctrico 1 hornalla 1000 W (x12u)","0.08112","Unidades","KU1ANF0001","AEK-1000","12.0","0.0"
"Anafe eléctrico 2 hornalla - 1500W y 1000 W (x6u)","0.08","Unidades","KU1ANF0002","AEK-2500","6.0","2.0"
"Anafe para camping compacto (x12 u)","0.067338","Unidades","KU1ANF0007","FACI-CO01","12.0","0.0"
"Anafe vitrocerámico 2 hornallas","0.02156","Unidades","VN1ANF0002","CELI-AV2H","1.0","0.0"
"Anafe vitrocerámico 4 hornallas y zona dual","0.040128","Unidades","VN1ANF0003","CELI-AVD4","1.0","0.0"
"Antiparra de natación azul de puente fijo (x24u)","0.0187","Unidades","ME1EQN0001","DANPFA","24.0","0.0"
"Antiparra de natación gris de puente intercambiable (x24u)","0.0178","Unidades","ME1EQN0002","DANPIG","24.0","0.0"
"Antiparra máscara de natación surtido colores EAMT-AR26 (x60u)","0.3198426","Unidades","ME1EQN0021","EAMT-AR26","60.0","0.0"
"Antorcha de acero inoxidable para citronela 115 cm (x24u)","0.07995","Unidades","VN1ATH0004","AA115-01","24.0","0.0"
"Antorcha de acero inoxidable para citronela 165 cm (x24u)","0.114724","Unidades","VN1ATH0003","AA165-01","24.0","0.0"
"Anzuelo serie 92611 N° 8/0 - Caja de 100 unidades (x60u)","0.048598","Unidades","KU1ANZ0001","A92611-8/0","60.0","0.0"
"Aparejo a cadena 1 tonelada","0.0072","Unidades","KU1APR0011","DAMI-0103","1.0","0.0"
"Aparejo a cadena 2 toneladas","0.007188125","Unidades","KU1APR0012","DAMI-0203","1.0","0.0"
"Aparejo a cadena 5 toneladas - 4,6 m","0.028552","Unidades","KU1APR0010","AMK-0505","1.0","0.0"
"Aparejo eléctrico 1000 kg","0.048906","Unidades","KU1APR0001","AEK 1000D","1.0","0.0"
"Aparejo eléctrico 250 kg (x2u)","0.030192","Unidades","KU1APR0002","AEK 250D","2.0","0.0"
"Aparejo eléctrico 500 kg (x2u)","0.03816","Unidades","KU1APR0003","AEK 500D","2.0","1.0"
"Apilador manual AB1030","2.352","Unidades","BR1API0006","AB1030","1.0","3.0"
"Apilador manual Barovo AB1016G","2.46","Unidades","BR1API0005","AB1016G","1.0","0.0"
"Aplique ABS Cilíndrico luz cálida (x50u)","0.09135","Unidades","ET1LDI0039","EBAI-RC10","50.0","0.0"
"Aplique ABS Cilíndrico luz fría (x50u)","0.09135","Unidades","ET1LDI0040","EBAI-RF10","50.0","0.0"
"Aplique ABS luz fría (x50u)","0.09135","Unidades","ET1LDI0019","EBAI-CF10","50.0","1.0"
"Aplique de interior 1 spot - cromado (x24u)","0.0374625","Unidades","ET1LDC0015","GAII-1SCV","24.0","0.0"
"Aplique de interior 1 spot moderno bocha - negro (x20u)","0.0320625","Unidades","ET1LAM00191","GAII-1SMN","20.0","0.0"
"Aplique de interior 1 spot moderno bocha  - blanco (x20u)","0.031725","Unidades","ET1LAM00195","GAII-1SMB","20.0","0.0"
"Aplique de interior 2 spot - cromado (x12u)","0.044043875","Unidades","ET1LDC0016","GAII-2SCV","12.0","0.0"
"Aplique de interior 2 spot moderno bocha - blanco (x12u)","0.04186875","Unidades","ET1LAM00196","GAII-2SMB","12.0","0.0"
"Aplique de interior 2 spot moderno bocha - negro (x12u)","0.041325","Unidades","ET1LAM00192","GAII-2SMN","12.0","0.0"
"Aplique de interior 3 spot - cromado (x8u)","0.051406875","Unidades","ET1LDC0017","GAII-3SCV","8.0","0.0"
"Aplique de interior 3 spot moderno bocha - blanco (x8u)","0.0429","Unidades","ET1LAM00197","GAII-3SMB","8.0","0.0"
"Aplique de interior 3 spot moderno bocha - negro (x8u)","0.04186875","Unidades","ET1LAM00193","GAII-3SMN","8.0","0.0"
"Aplique de interior 4 spot moderno bocha - blanco (x6u)","0.0424125","Unidades","ET1LAM00198","GAII-4SMB","6.0","9.0"
"Aplique de interior 4 spot moderno bocha- negro (x6u)","0.04425","Unidades","ET1LAM00194","GAII-4SMN","6.0","9.0"
"Aplique de interior barral 3 spot - blanco (x8u)","0.0358875","Unidades","ET1LDC0009","GAII-3SBB","8.0","36.0"
"Aplique de interior barral 3 spot - negro (x8u)","0.0358875","Unidades","ET1LDC0010","GAII-3SBN","8.0","41.0"
"Aplique de interior barral 4 spot - blanco (x6u)","0.03826625","Unidades","ET1LDC0011","GAII-4SBB","6.0","23.0"
"Aplique de interior barral 4 spot - negro (x6u)","0.03826625","Unidades","ET1LDC0012","GAII-4SBN","6.0","35.0"
"Aplique de interior barral 5 spot - blanco (x6u)","0.04648875","Unidades","ET1LDC0013","GAII-5SBB","6.0","23.0"
"Aplique de interior barral 5 spot - negro (x6u)","0.04648875","Unidades","ET1LDC0014","GAII-5SBN","6.0","20.0"
"Aplique de interior led integrado 3 spot - redondos (x8u)","0.004655","Unidades","ET1LAM00224","GAII-3SCI","8.0","0.0"
