"Nombre","Volumen","Unidad de medida","Referencia interna","D365 Reference","Box Qty","Pronosticado con pendiente"
"Conjunto mueble de baño y espejo Teme","0.189475","Unidades","GA1MBL0001","BCMK-TC60","1.0","-8.0"
"Cono vial naranja 45 cm (x25u)","0.0","Unidades","BR1CON0003","DCVI-FL45","25.0","0.0"
"Cono vial naranja 70 cm (x10u)","0.0","Unidades","BR1CON0004","DCVI-FL70","10.0","0.0"
"Cono vial naranja de 45 cm (x25u)","0.09016","Unidades","KU1CON0003","CV-45","25.0","0.0"
"Cono vial naranja de 70 cm (x10u)","0.1225","Unidades","KU1CON0002","CV-70","10.0","0.0"
"Cono vial plegable naranja de 45 cm (x20u)","0.0625725","Unidades","KU1CON0004","B45-PP","20.0","0.0"
"Conservadora 34 litros MOR color azul","0.066528","Unidades","MR1CNS0007","25108161","1.0","0.0"
"Conservadora 34 litros MOR color rojo","0.066528","Unidades","MR1CNS0008","25108162","1.0","0.0"
"Conservadora 42 litros MOR color azul","0.10907064","Unidades","MR1CNS0014","25108221","1.0","1.0"
"Conservadora 42 litros MOR color negro","0.10907064","Unidades","MR1CNS0034","25108220","1.0","0.0"
"Conservadora de 18 litros MOR color rojo","1e-06","Unidades","MR1CNS0028","25108182","1.0","7.0"
"Conservadora eléctrica 108A frío-calor capacidad 8 L (x4u)","0.13258175","Unidades","KU1CNS0006","CE-08A","4.0","44.0"
"Conservadora eléctrica frío-calor capacidad 24 L","0.06","Unidades","KU1CNS0002","CW-24C","1.0","0.0"
"Conservadora eléctrica frío-calor capacidad 32 L","0.07442325","Unidades","KU1CNS0003","CW-32A","1.0","307.0"
"Conservadora eléctrica frío-calor con ruedas 33 L","0.089856","Unidades","KU1CNS0010","CE-33A","1.0","0.0"
"Contactor modular tetrapolar 25 A - 4 NA (x30u)","0.0143","Unidades","ET1COR0008","CMT-025A","30.0","0.0"
"Contactor tripolar 12 A + 1 NA (x50u)","0.0206435","Unidades","ET1COR0002","CTA-012A","50.0","1.0"
"Contactor tripolar 12 A + 1 NA - 24 Vca (x50u)","0.0206435","Unidades","ET1COR0011","CTA-012B","50.0","0.0"
"Contactor tripolar 18 A + 1 NA (x50u)","0.0206435","Unidades","ET1COR0003","CTA-018A","50.0","0.0"
"Contactor tripolar 18 A + 1 NA - 24 Vca (x50u)","0.0206435","Unidades","ET1COR0012","CTA-018B","50.0","0.0"
"Contactor tripolar 25 A + 1 NA (x50u)","0.034750625","Unidades","ET1COR0009","CTA-025A","50.0","0.0"
"Contactor tripolar 25 A + 1 NA - 24 Vca (x50u)","0.034750625","Unidades","ET1COR0013","CTA-025B","50.0","0.0"
"Contactor tripolar 9 A + 1 NA (x50u)","0.0206435","Unidades","ET1COR0001","CTA-009A","50.0","0.0"
"Contactor tripolar 9 A + 1 NA - 24 Vca (x50u)","0.0206435","Unidades","ET1COR0010","CTA-009B","50.0","0.0"
"Contadora de billetes (x2u)","0.044848125","Unidades","ET1CBI0001","CTBI1000","2.0","0.0"
"Contenedor cuadrado Fresh Lock 950 cc (x4u)","0.0133","Unidades","PY1CTR0016","1133098","4.0","0.0"
"Contenedor redondo Fresh Lock 950 cc (x4u)","0.0133","Unidades","PY1CTR0017","1137213","4.0","2.0"
"Control de presión automático (x12u)","0.095665","Unidades","KU1CDP0001","CDP-1011","12.0","0.0"
"Control remoto Wi-Fi smart 360° (x50u)","0.0154105","Unidades","ET1CRO0001","CIRSMRT360","50.0","15.0"
"Control remoto universal para TV (x50u)","0.0169125","Unidades","ET1CRO0003","CTRUNVTV","50.0","0.0"
"Control remoto universal para aire acondicionado (x50u)","1e-06","Unidades","ET1CRO0002","CTRUNVAA","50.0","27.0"
"Controlador de Calefón solar 200 L con accesorios","0.0","Unidades","KU1CFS0009-4","CSK200A-B 5/5","1.0","4.0"
"Controlador para panel LED 12 W (x200u)","0.026656","Unidades","ET1CTL0002","CON12E","200.0","0.0"
"Controlador para panel LED 18 W (x200u)","0.026264","Unidades","ET1CTL0003","CON18E","200.0","11.0"
"Controlador para panel LED 24 W (x200u)","0.03759125","Unidades","ET1CTL0004","CON24E","200.0","14.0"
"Controlador para panel LED 48 W (x100u)","0.01591","Unidades","ET1CTL0005","CON48E","100.0","0.0"
"Controlador para panel LED 6 W (x200u)","0.026656","Unidades","ET1CTL0001","CON6E","200.0","5.0"
"Controlador para panel plástico LED 18 W (x200u)","0.0185625","Unidades","ET1CTL0009","GCPI-18WD","200.0","3.0"
"Controlador para panel plástico LED 24 W (x200u)","0.0185625","Unidades","ET1CTL0010","GCPI-24WD","200.0","1.0"
"Copa agua Brunello Cristar 507 ml (x12u)","1e-06","Unidades","CI1VJL0022","5469AL12","12.0","0.0"
"Copa vino Brunello Cristar 408 ml (x12u)","1e-06","Unidades","CI1VJL0023","5468AL12","12.0","0.0"
"Core bag 10 kg","0.017689","Unidades","ME1CBG0002","DCB10K","1.0","12.0"
"Core bag 15 kg","0.023373","Unidades","ME1CBG0003","DCB15K","1.0","18.0"
"Core bag 5 kg","0.010982","Unidades","ME1CBG0001","DCB5K","1.0","22.0"
"Correa extensible para perro 5 m surtido colores CCET-5MVN (x70u)","0.0718875","Unidades","VN1CRE0009","CCET-5MVN","70.0","0.0"
"Correa para perro 1,3 m surtido colores CCPT-13NG (x90u)","0.03448825","Unidades","VN1CRE0007","CCPT-13NG","90.0","2.0"
"Correa para perro 1,5 m surtido colores CCPT-15CN (x50u)","0.032256","Unidades","VN1CRE0008","CCPT-15CN","50.0","9.0"
"Correa para perro 1,5 m surtido colores MCPR15RN (x50u)","0.050112","Unidades","VN1CRE0005","MCPR15RN","50.0","0.0"
"Corredera telescópica 45 cm (x15u)","0.0107916","Unidades","BR1CDA0002","TELES45","15.0","0.0"
"Corredera telescópica 50 cm (x15u)","0.0120819","Unidades","BR1CDA0003","TELES50","15.0","0.0"
"Cortacerco 21 V - ion litio (x4u)","0.08477625","Unidades","BR1CTC0001","CCB18-ION","4.0","12.0"
"Cortacercos","0.0702","Unidades","MI1CTC0001","CCM26","1.0","0.0"
"Cortador de pizza CUTI-CPAC (x24u)","0.00715","Unidades","VN1UTC0032","CUTI-CPAC","24.0","3.0"
"Cortadora de bloques manual","0.18414","Unidades","BR1CRB0001","BCBM42","1.0","0.0"
"Cortadora de cabello y barba (x20u)","0.0729","Unidades","VN1MCA0001","CELI-CCB4","20.0","9.0"
"Cortadora de cerámicos ancha","0.067527","Unidades","BR1CCR0001","BCC640","1.0","0.0"
"Cortadora de cerámicos de 600 mm (x4u)","0.079218","Unidades","MI1CCR0001","MICC600","4.0","0.0"
"Cortadora de cerámicos profesional (x2u)","0.04846875","Unidades","BR1CCR0002","BCC8100","2.0","34.0"
"Cortadora de concreto manual","0.122688","Unidades","BR1CCR0004","BUQ350","1.0","5.0"
"Cortadora de césped 1000 W con bolsa","0.0563","Unidades","KU1CTP0021","DCCI-1000","1.0","587.0"
"Cortadora de césped 1600 W con bolsa","0.112","Unidades","KU1CTP0022","DCCI-1600","1.0","301.0"
"Cortadora de césped a explosión 17” - empuje manual","0.15582","Unidades","KU1CTP0001","K17E","1.0","0.0"
"Cortadora de césped autopropulsada a explosión 18” - 4 en 1","0.213125","Unidades","KU1CTP0002","K18AP","1.0","0.0"
"Cortadora de césped eléctrica Mocar R510","0.10374","Unidades","MO1CTP0003","R510","1.0","0.0"
"Cortadora de césped helicoidal 16"" con bolsa recolectora","0.0575","Unidades","KU1CTP0023","DCHI-16CB","1.0","0.0"
"Cortadora de césped naftera 16"" Loncin","0.113","Unidades","KU1CTP0024","DMCI-16LB","1.0","49.0"
"Cortadora de césped naftera 20"" autopropulsada 3 en 1","0.2401","Unidades","KU1CTP0025","DMCI-20LA","1.0","143.0"
"Cortadora de césped naftera Kushiro R60NE","0.16576","Unidades","KU1CTP0014","R60NE","1.0","0.0"
"Cortadora de césped naftera Kushiro R65N","0.16576","Unidades","KU1CTP0011","R65N","1.0","0.0"
"Cortadora de césped naftera Kushiro R70NT","0.16576","Unidades","KU1CTP0012","R70NT","1.0","0.0"
"Cortadora de plasma KCP100 c/ torcha Northweld NA101","0.117484375","Unidades","KU1CPM0006","KCP100-A101","1.0","0.0"
"Cortadora de plasma con control de corte KCP40S","0.045962","Unidades","KU1CPM0004","KCP40S","1.0","0.0"
"Cortadora manual Star 42N","0.010065","Unidades","RB1CCR0007","14943","1.0","0.0"
"Cortafrío hexagonal 250 mm × 35 mm (x5u)","0.0004375","Unidades","BS1CNM0004","991811","5.0","0.0"
"Cortafrío hexagonal 300 mm × 35 mm (x5u)","0.000525","Unidades","BS1CNM0005","991812","5.0","0.0"
"Cortafrío hexagonal 350 mm × 35 mm (x5u)","0.0006125","Unidades","BS1CNM0006","991813","5.0","0.0"
"Cortafrío plano 250 mm × 35 mm (x5u)","0.0004375","Unidades","BS1CNM0001","991802","5.0","0.0"
"Cortafrío plano 300 mm × 35 mm (x5u)","0.000525","Unidades","BS1CNM0002","991803","5.0","0.0"
"Cortafrío plano 350 mm × 35 mm (x5u)","0.0006125","Unidades","BS1CNM0003","991804","5.0","0.0"
"Cortafrío redondo 250 mm × 35 mm (x5u)","0.0004375","Unidades","BS1CNM0007","991841","5.0","0.0"
"Cortafrío redondo 300 mm × 35 mm (x5u)","0.000525","Unidades","BS1CNM0008","991842","5.0","0.0"
"Cortafrío redondo 350 mm × 35 mm (x5u)","0.0006125","Unidades","BS1CNM0009","991843","5.0","0.0"
"Cortaúñas verde agua para mascotas (x30u)","0.012813125","Unidades","VN1APM0002","MCUMVA","30.0","0.0"
"Cortina blackout de 120 cm × 160 cm con sistema roller (x6u)","0.0383916","Unidades","VN1CNA0002","ORG054","6.0","0.0"
"Cortina blackout de 120 cm × 240 cm con sistema roller (x6u)","0.038223","Unidades","VN1CNA0005","ORG057","6.0","0.0"
"Cortina blackout de 150 cm × 160 cm con sistema roller (x6u)","0.046368","Unidades","VN1CNA0003","ORG055","6.0","0.0"
"Cortina blackout de 180 cm × 160 cm con sistema roller (x6u)","0.054924","Unidades","VN1CNA0004","ORG056","6.0","4.0"
"Cortina blackout de 180 cm × 240 cm con sistema roller (x6u)","0.054663","Unidades","VN1CNA0006","ORG058","6.0","0.0"
"Cortina blackout de 90 cm × 160 cm con sistema roller (x6u)","0.0313404","Unidades","VN1CNA0001","ORG053","6.0","0.0"
"Cortina de bambú 120 cm × 165 cm (x6u)","0.060268","Unidades","VN1CNA0020","CDEI-CB03","6.0","9.0"
"Cortina de bambú 120 cm × 220 cm (x4u)","0.059048","Unidades","VN1CNA0022","CDEI-CB05","4.0","21.0"
"Cortina de bambú 60 cm × 165 cm (x9u)","0.041912","Unidades","VN1CNA0018","CDEI-CB01","9.0","2.0"
"Cortina de bambú 90 cm × 165 cm (x9u)","0.062192","Unidades","VN1CNA0019","CDEI-CB02","9.0","0.0"
"Cortina de bambú 90 cm × 220 cm (x6u)","0.064768","Unidades","VN1CNA0021","CDEI-CB04","6.0","6.0"
"Cortina para baño de tela Cuadros (x30u)","0.06048","Unidades","VN1CNA0015","CCBI-18CU","30.0","3.0"
"Cortina para baño de tela Líneas (x30u)","0.06048","Unidades","VN1CNA0017","CCBI-18LI","30.0","0.0"
"Cortina para baño de tela Ondas (x30u)","0.06048","Unidades","VN1CNA0016","CCBI-18ON","30.0","0.0"
"Crique bajo perfil 1,5 t","0.03186","Unidades","KU1CRQ0008","CKA1.5","1.0","0.0"
"Crique botella 10 t (x4u)","0.024705","Unidades","KU1CRQ0001","CBK10","4.0","0.0"
"Crique botella 10 t DCBI-010T (x4u)","0.021025","Unidades","MI1CRQ0003","DCBI-010T","4.0","20.0"
"Crique botella 2 t (x10u)","0.028392","Unidades","KU1CRQ0002","CBK2","10.0","18.0"
"Crique botella 2 t DCBI-002T (x10u)","0.019845","Unidades","MI1CRQ0001","DCBI-002T","10.0","14.0"
"Crique botella 20 t (x2u)","0.018975","Unidades","KU1CRQ0003","CBK20","2.0","0.0"
"Crique botella 3 t (x8u)","0.029095","Unidades","KU1CRQ0013","CBK3","8.0","0.0"
"Crique botella 30 t (x2u)","0.0245385","Unidades","KU1CRQ0022","CBK30","2.0","0.0"
"Crique botella 5 t (x6 u)","0.02702","Unidades","KU1CRQ0004","CBK5","6.0","12.0"
"Crique botella 5 t DCBI-005T (x6u)","0.0222","Unidades","MI1CRQ0002","DCBI-005T","6.0","18.0"
"Crique botella 50 t","0.018503625","Unidades","KU1CRQ0005","CBK50","1.0","0.0"
"Crique carro corto 2 t","0.01148","Unidades","KU1CRQ0014","CKC2000","1.0","0.0"
"Crique carro corto 3 t","0.03186","Unidades","KU1CRQ0007","CKC3","1.0","0.0"
"Crique carro largo 3 t","0.137228","Unidades","KU1CRQ0011","CCK3.0","1.0","0.0"
"Crique carro largo 5 t","0.18879","Unidades","KU1CRQ0012","CCK5.0","1.0","1.0"
"Crique hidráulico de 2,5 t","0.022272","Unidades","KU1CRQ0023","DCHI-025A","1.0","0.0"
"Cuarto de caña trail pro detalle gris L (x12u)","0.00364","Unidades","PR1VES0002","EMRI-20GL","12.0","0.0"
"Cuarto de caña trail pro detalle gris M (x12u)","0.00364","Unidades","PR1VES0001","EMRI-20GM","12.0","0.0"
"Cuarto de caña trail pro detalle rosa M (x12u)","0.00364","Unidades","PR1VES0006","EMRI-20RM","12.0","0.0"
"Cubertero extensible de bambú (x5u)","0.03348","Unidades","VN1CUB0002","CCN098","5.0","0.0"
"Cubertero simple de bambú (x6u)","0.0391875","Unidades","VN1CUB0001","CCN097","6.0","0.0"
"Cubre alfombra de baúl de PVC 3 mm (x25u)","0.0212585","Unidades","KU1AAU0004","RCAI-0002","25.0","0.0"
"Cuenta litros (x6u)","0.09025","Unidades","KU1CLT0001","CLK-4","6.0","0.0"
"Cuerpo Elevador de placas de yeso 4,6 m EPYB-16F","0.07122225","Unidades","BR1ELV0002-1","EPYB-16F 1/2","1.0","2.0"
"Cuerpo de Guinche pluma hidráulico 1000 kg para camioneta","0.0","Unidades","BR1GCH0003-2","DGPI-1TCA Parte 2/2","1.0","0.0"
"Cuerpo de Guinche pluma hidráulico 2000 kg para camioneta","0.0","Unidades","BR1GCH0004-2","DGPI-2TPL Parte 2/2","1.0","0.0"
"Cupla fusión con rosca H ø 20 × 1/2 (x80u)","0.042875","Unidades","TF1ACS0041","CUF-RH2012","80.0","0.0"
"Cupla fusión con rosca M ø 25 × 1/2 (x40u)","0.042875","Unidades","TF1ACS0037","CUF-RM2512","40.0","2.0"
"Cupla fusión con rosca M ø 25 × 3/4 (x30u)","0.042875","Unidades","TF1ACS0038","CUF-RM2534","30.0","4.0"
"Cupla fusión con rosca M ø 32 × 3/4 (x30u)","0.042875","Unidades","TF1ACS0039","CUF-RM3234","30.0","1.0"
"Cupla unión fusión HH ø 20 (x300u)","0.042875","Unidades","TF1ACS0009","CFU-HH20","300.0","0.0"
"Cupla unión fusión HH ø 25 (x200u)","0.042875","Unidades","TF1ACS0010","CFU-HH25","200.0","0.0"
"Cupla unión fusión HH ø 32 (x100u)","0.042875","Unidades","TF1ACS0011","CFU-HH32","100.0","2.0"
"Cupla unión fusión HH ø 40 (x70u)","0.042875","Unidades","TF1ACS0012","CFU-HH40","70.0","4.0"
"Curva de sobrepaso fusión ø 20 (x15u)","0.042875","Unidades","TF1ACS0017","CSFU-20","15.0","2.0"
"Curva de sobrepaso fusión ø 25 (x12u)","0.042875","Unidades","TF1ACS0018","CSFU-25","12.0","7.0"
"Curva de sobrepaso fusión ø 32 (x9u)","0.042875","Unidades","TF1ACS0019","CSFU-32","9.0","4.0"
"Curva fusión a 90° HH ø 20 (x70u)","0.042875","Unidades","TFACS0063","BCFI-9020","70.0","0.0"
"Curva fusión a 90° HH ø 25 (x60u)","0.042875","Unidades","TFACS0064","BCFI-9025","50.0","0.0"
"Curva fusión a 90° HH ø 32 (x60u)","0.042875","Unidades","TF1ACS0065","BCFI-9032","50.0","0.0"
"Curvador soporte universal para manguera (x200u)","0.11918","Unidades","GA1MNG0005","CSUM-01","200.0","7.0"
"Cutter aluminio 18 mm × 100 mm (x144u)","0.053934","Unidades","BR1CTT0001","CUT-0018","144.0","0.0"
"Cutter hoja 18 mm (x144u)","0.05625","Unidades","UD1CTT0001","CU0118","144.0","0.0"
"Cutter plegable 18 mm × 60 mm (x144u)","0.059808","Unidades","BR1CTT0004","CUT-P018","144.0","8.0"
"Cutter premium 18 mm (x144u)","0.05625","Unidades","UD1CTT0002","CUP518","144.0","0.0"
"Cutter/cuchilla retráctil 18 mm × 60 mm (x144u)","0.057375","Unidades","UD1CTT0003","CUR01","144.0","0.0"
"Cámara Wi-Fi (x25u)","0.041472","Unidades","ET1CAM0003","ACWI-FUHD","25.0","50.0"
"Cámara de aluminio FULL HD 2 MP (x50u)","0.07339875","Unidades","ET1DMO0001","CAM2MPE","50.0","5.0"
"Cámara de seguridad WIFI full HD (x50u)","0.0624","Unidades","ET1CAM0007","ACSI-IWHD","50.0","2.0"
"Cámara de seguridad WIFI para exterior con panel solar (x21u)","0.232875","Unidades","ET1CAM0006","ACSI-BPTZ","21.0","0.0"
"Cámara formato lámpara E27 con rotación (x50u)","0.090475","Unidades","ET1CAM0004","GCLI-PTZL","50.0","0.0"
"Depósito de apoyo de juego de baño BJBB-4PPI","0.0","Unidades","GA1ACB00183-2","BJBB-4PPI 2/3","1.0","0.0"
"Depósito de apoyo de juego de baño BJBB-6PPI","0.0","Unidades","GA1ACB00184-2","BJBB-6PPI 2/5","1.0","8.0"
"Depósito de inodoro ultrachato Belice (x8u)","0.19040175","Unidades","GA1DDI0002","DIU-532","8.0","0.0"
"Depósito de inodoro ultrachato Orco (x8u)","0.19040175","Unidades","GA1DDI0001","DIU-538","8.0","0.0"
"Desagüe lineal 01A 70 cm (x10u)","0.111072","Unidades","GA1DGE0003","DL-01A70","10.0","0.0"
"Desagüe lineal 02A 30 cm (x10u)","0.055575","Unidades","GA1DGE0004","DL-02A30","10.0","0.0"
"Desagüe lineal con sifón giratorio 360° de 30 cm (x10u)","0.05472","Unidades","GA1DGE0013","BDLI-30GI","10.0","2.0"
"Desagüe lineal con sifón giratorio 360° de 50 cm (x10u)","0.08352","Unidades","GA1DGE0014","BDLI-50GI","10.0","0.0"
"Desagüe lineal con sifón giratorio 360° de 70 cm (x10u)","0.11232","Unidades","GA1DGE0015","BDLI-70GI","10.0","1.0"
"Desagüe triangular 04A 20 cm (x10u)","0.06809775","Unidades","GA1DGE0010","DT-J104A","10.0","1.0"
"Desarmadora semiautomática de neumático","0.671232","Unidades","KU1EPG0002","DNI-3F25","1.0","0.0"
"Descarga con sifón clásica (x25u)","0.077112","Unidades","GA1GRF0037","GL362C","25.0","0.0"
"Descarga con sifón cuadrada (x25u)","0.074328125","Unidades","GA1GRF0041","GL362CA","25.0","0.0"
"Descarga con sifón minimalista (x25u)","0.077112","Unidades","GA1GRF0039","GL362M","25.0","0.0"
"Descarga con sifón minimalista negra (x25u)","0.074328125","Unidades","GA1GRF0040","GL362MN","25.0","0.0"
"Descarga con sifón pipa (x50u)","0.075703125","Unidades","GA1GRF0042","GL362P","50.0","0.0"
"Descarga con sifón recta (x25u)","0.077112","Unidades","GA1GRF0038","GL362R","25.0","0.0"
"Descarga flexible blanca para lavatorio (x50u)","0.040052","Unidades","GA1ACS00112","DFB-02","50.0","0.0"
"Descarga flexible blanca para pileta (x50u)","0.063726","Unidades","GA1ACS00110","DFB-01","50.0","0.0"
"Descarga flexible metalizada para lavatorio (x50u)","0.040052","Unidades","GA1ACS00113","DFC-02","50.0","4.0"
"Descarga flexible metalizada para pileta (x50u)","0.0756","Unidades","GA1ACS00111","DFC-01","50.0","21.0"
"Desmalezadora 52 cc DDEI-52CC para e-commerce","0.10556","Unidades","KU1DSM0008","DDEI-52CC","1.0","0.0"
"Desmalezadora DMI52LP (x10 u)","0.0","Unidades","MI1DSM0004","","1.0","0.0"
"Desmalezadora eléctrica 1200 W (x2u)","0.002061165","Unidades","KU1DSM0006","DDEI-1200","2.0","0.0"
"Desmalezadora profesional DK52JR","0.0","Unidades","KU1DSM0004","DK52JR","1.0","104.0"
"Desoldadora de estaño (x200u)","0.046852","Unidades","KU1DSL0001","DEP-U","200.0","5.0"
"Destapacañerías doble función 655 (x8u)","0.096","Unidades","BR1DCS0003","DM655","8.0","0.0"
"Destapacañerías manual 1350 (x25u)","0.071176","Unidades","BR1DCS0001","DM1350","25.0","0.0"
"Destapacañerías manual 650 (x12u)","0.094054","Unidades","BR1DCS0002","DM650","12.0","0.0"
"Destapador de botellas (x24u)","0.005643","Unidades","VN1UTC0034","CUTI-DBAC","24.0","6.0"
"Detector de voltaje digital (x100u)","0.041863375","Unidades","BR1TST0001","GDVI-901K","100.0","0.0"
"Detector de voltaje digital DVOL89U (x100u)","0.04374","Unidades","UD1TST0003","DVOL89U","100.0","0.0"
"Dif Tipo de Cambio	(Realizada Ganancia)","0.0","Unidades","","","1.0","0.0"
"Dif Tipo de Cambio	(Realizada Pérdida)","0.0","Unidades","","","1.0","0.0"
"Difusor de ambiente Home 125 ml Organic Spa - Gardenia (x6u)","0.009936","Unidades","OS1AMZ0009","W73G","6.0","0.0"
"Difusor para torcha MIG DTMI-15AK (x500u)","0.006","Unidades","KU1APS0008","DDKI-15AK","500.0","3.0"
"Disco abrasivo de fibra Chaupint cerámico (x100u)","0.038299125","Unidades","BR1DDL0008","DFI-CC45","100.0","0.0"
"Disco abrasivo de fibra Chaupint nailon (x100u)","0.038299125","Unidades","BR1DDL0007","DFI-CN45","100.0","0.0"
"Disco de corte  4 1/2"" espesor 1 mm (x600u)","0.02","Unidades","BR1DSC0001","11510-WA60TBF","600.0","0.0"
"Disco de corte 3 dientes para desmalezadora 255 × 25,4 mm (x100u)","0.0125","Unidades","KU1DSM0010","DCUI-3P01","100.0","24.0"
"Disco de corte 4 1/2"" - 1,2 mm (x400u)","0.01119195","Unidades","MI1DSC0001","DDCI-11512","400.0","0.0"
"Disco de corte 4 1/2"" - 1,6 mm (x400u)","0.01377","Unidades","MI1DSC0002","DDCI-11516","400.0","0.0"
"Disco de corte 4 1/2"" espesor 1,2 mm (x600u)","0.017465625","Unidades","BR1DSC0042","11512-WA60TBF","600.0","0.0"
"Disco de corte 4 1/2"" espesor 1,6 mm (x640u)","0.0223652","Unidades","BR1DSC0002","11516-WA46TBF","640.0","2.0"
"Disco de corte 7"" espesor 1,6 mm (x200u)","0.018188625","Unidades","BR1DSC0003","18016-WA46SBF","200.0","0.0"
"Disco de corte 9"" espesor 1,9 mm (x120u)","0.02002","Unidades","BR1DSC0004","23019-WA46TBF","120.0","0.0"
"Disco de corte continuo para mampostería 115 mm (x100u)","0.02018205","Unidades","BR1DSC0006","DCCM11518","100.0","0.0"
"Disco de corte para sierra sensitiva 14"" (x25u)","0.01231875","Unidades","BR1DSC0026","DSS14-1","25.0","0.0"
"Disco de corte para sierra sensitiva 14"" reforzado (x25 u)","0.0124875","Unidades","BR1DSC0027","DSS14-2","25.0","0.0"
"Disco de corte segmentado para concreto y granito 115 mm (x100u)","0.021049434","Unidades","BR1DSC0009","DCCGS11518","100.0","0.0"
"Disco de corte segmentado para concreto y granito 180 mm (x50u)","0.0194103","Unidades","BR1DSC0010","DCCGS18024","50.0","4.0"
"Disco de corte segmentado para concreto y granito 230 mm (x30u)","0.01634475","Unidades","BR1DSC0011","DCCGS23026","30.0","7.0"
"Disco de corte segmentado para mampostería 115 mm (x100u)","0.02203392","Unidades","BR1DSC0007","DCMS11518","100.0","0.0"
"Disco de corte turbo para cerámico 115 mm (x100u)","1e-06","Unidades","BR1DSC0043","DDDI-C115","100.0","0.0"
"Disco de corte turbo para granito y mármol 115 mm (x100u)","0.0206367","Unidades","BR1DSC0014","DCTGM11518","100.0","0.0"
"Disco de corte turbo para granito y mármol 180 mm (x50u)","0.019344","Unidades","BR1DSC0008","DCTGM18024","50.0","0.0"
"Disco de desbaste 4 1/2"" espesor 4,8 mm (x100u)","0.010557","Unidades","MI1DSC0003","DDDI-11548","100.0","10.0"
"Disco de desbaste 4 1/2"" espesor 4,8 mm (x200u)","0.020511","Unidades","BR1DSC0005","11548-A24RBF","200.0","-1.0"
"Disco de lija 320 (x1000u)","0.0286425","Unidades","BR1DDL0006","DLI-VP32","1000.0","0.0"
"Disco de lija grano 40 x 1000 unidades (x1000u)","0.03451","Unidades","BR1DDL0001","DLI-VP40","1.0","0.0"
"Disco de lija grano 60 x 1000 unidades (x1000u)","0.02842875","Unidades","BR1DDL0002","DLI-VP60","1.0","0.0"
"Disco de lija grano 80 x 1000 unidades (x1000u)","0.0286425","Unidades","BR1DDL0003","DLI-VP80","1.0","0.0"
"Disco engomado 10 kg de 30 mm (x2u)","0.01050263","Unidades","ME1DPF0003","DPDE310K","2.0","10.0"
"Disco engomado 15 kg de 30 mm (x2u)","0.01444","Unidades","ME1DPF0004","DPDE315K","2.0","14.0"
"Disco engomado 2,5 kg de 30 mm (x4u)","0.006776","Unidades","ME1DPF0001","DPDE325K","4.0","67.0"
"Disco engomado 20 kg de 30 mm","0.0097498","Unidades","ME1DPF0005","DPDE320K","1.0","10.0"
"Disco engomado 25 kg de 30 mm","0.01144","Unidades","ME1DPF0006","DPDE3255K","1.0","30.0"
"Disco engomado 5 kg de 30 mm (x4u)","0.0117","Unidades","ME1DPF0002","DPDE35K","4.0","32.0"
"Disco flap Visión #120 zirconio 115 mm × 22 mm (x200u)","0.038688","Unidades","BR1DSC0048","DDFI-3T12","200.0","2.0"
"Disco flap Visión #40 zirconio 115 mm × 22 mm (x200u)","0.038688","Unidades","BR1DSC0045","DDFI-3T40","200.0","5.0"
"Disco flap Visión #60 zirconio 115 mm × 22 mm (x200u)","0.038688","Unidades","BR1DSC0046","DDFI-3T60","200.0","2.0"
"Disco flap Visión #80 zirconio 115 mm × 22 mm (x200u)","0.038688","Unidades","BR1DSC0047","DDFI-3T80","200.0","2.0"
"Disco flap de diamantano 4,5"" / 120 (x200u)","0.036531","Unidades","BR1CNM0051","FDMO-120","200.0","0.0"
"Disco flap de diamantano 4,5"" / 40 (x200u)","0.0423735","Unidades","BR1CNM0048","FDMO-40","200.0","0.0"
"Disco flap de diamantano 4,5"" / 60 (x200u)","0.043173","Unidades","BR1CNM0049","FDMO-60","200.0","1.0"
"Disco flap de diamantano 4,5"" / 80 (x200u)","0.039928875","Unidades","BR1CNM0050","FDMO-80","200.0","0.0"
"Disco flap de óxido de aluminio 4,5"" / 120 (x200u)","0.03736125","Unidades","BR1CNM0047","DFOA-120","200.0","0.0"
"Disco flap de óxido de aluminio 4,5"" / 120 (x200u)","0.0369675","Unidades","MI1DDL0004","DDFI-OA12","200.0","3.0"
"Disco flap de óxido de aluminio 4,5"" / 40 (x200u)","0.042718","Unidades","MI1DDL0001","DDFI-OA40","200.0","0.0"
"Disco flap de óxido de aluminio 4,5"" / 40 (x200u)","0.043188375","Unidades","BR1CNM0044","DFOA-40","200.0","0.0"
"Disco flap de óxido de aluminio 4,5"" / 60 (x200u)","0.043188375","Unidades","BR1CNM0045","DFOA-60","200.0","0.0"
"Disco flap de óxido de aluminio 4,5"" / 60 (x200u)","0.042718","Unidades","MI1DDL0002","DDFI-OA60","200.0","3.0"
"Disco flap de óxido de aluminio 4,5"" / 80 (x200u)","0.0358545","Unidades","MI1DDL0003","DDFI-OA80","200.0","0.0"
"Disco flap de óxido de aluminio 4,5"" / 80 (x200u)","0.03960425","Unidades","BR1CNM0046","DFOA-80","200.0","0.0"
"Disco flap de óxido de zirconio 4,5"" / 120 (x200u)","0.036146","Unidades","MI1DDL0008","DDFI-OZ12","200.0","10.0"
"Disco flap de óxido de zirconio 4,5"" / 40 (x200u)","0.042718","Unidades","MI1DDL0005","DDFI-OZ40","200.0","9.0"
